Time(ms), Input 0
0, 0.006256103515625
1, 0.006561279296875
2, 0.006256103515625
3, 0.006103515625
4, 0.006256103515625
5, 0.006103515625
6, 0.006561279296875
7, 0.006256103515625
8, 0.00640869140625
9, 0.006103515625
10, 0.005950927734375
11, 0.006103515625
12, 0.005950927734375
13, 0.005950927734375
14, 0.006103515625
15, 0.005645751953125
16, 0.006103515625
17, 0.006256103515625
18, 0.006103515625
19, 0.006103515625
20, 0.005950927734375
21, 0.006256103515625
22, 0.00579833984375
23, 0.006256103515625
24, 0.006103515625
25, 0.00640869140625
26, 0.006103515625
27, 0.006103515625
28, 0.006256103515625
29, 0.00640869140625
30, 0.005950927734375
31, 0.005950927734375
32, 0.006103515625
33, 0.005950927734375
34, 0.006256103515625
35, 0.00579833984375
36, 0.006256103515625
37, 0.006256103515625
38, 0.00640869140625
39, 0.005950927734375
40, 0.006256103515625
41, 0.006103515625
42, 0.006103515625
43, 0.006103515625
44, 0.006103515625
45, 0.00579833984375
46, 0.006256103515625
47, 0.00579833984375
48, 0.006256103515625
49, 0.006256103515625
50, 0.006256103515625
51, 0.006103515625
52, 0.00640869140625
53, 0.006561279296875
54, 0.006256103515625
55, 0.006256103515625
56, 0.006103515625
57, 0.006103515625
58, 0.006256103515625
59, 0.006103515625
60, 0.006256103515625
61, 0.006103515625
62, 0.00579833984375
63, 0.006103515625
64, 0.006561279296875
65, 0.006256103515625
66, 0.005645751953125
67, 0.006103515625
68, 0.006103515625
69, 0.006256103515625
70, 0.006103515625
71, 0.00579833984375
72, 0.005950927734375
73, 0.005950927734375
74, 0.006103515625
75, 0.005950927734375
76, 0.006256103515625
77, 0.005950927734375
78, 0.006103515625
79, 0.006103515625
80, 0.006103515625
81, 0.006103515625
82, 0.005950927734375
83, 0.006256103515625
84, 0.00640869140625
85, 0.005950927734375
86, 0.006256103515625
87, 0.00640869140625
88, 0.006103515625
89, 0.006256103515625
90, 0.00579833984375
91, 0.006256103515625
92, 0.005950927734375
93, 0.005950927734375
94, 0.006103515625
95, 0.006103515625
96, 0.005950927734375
97, 0.00640869140625
98, 0.006103515625
99, 0.006103515625
