cell,active
1,0
2,0
3,1
4,0
5,1
6,0
7,0
8,0
9,0
10,1
11,0
12,1
13,0
14,0
15,1
16,0
17,1
18,0
19,0
20,0
21,0
22,2
23,0
24,1
25,0
26,0
27,0
28,1
29,0
30,0
31,2
33,0
34,1
36,1
37,0
38,0
39,0
40,0
41,2
42,1
43,0
44,0
45,0
46,1
47,2
48,1
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,1
65,0
66,0
67,1
68,1
69,0
70,2
71,0
72,2
73,0
74,0
75,0
76,1
77,0
78,0
79,0
80,0
82,1
83,1
84,0
85,0
86,0
87,0
88,1
89,0
90,0
91,0
92,1
93,0
94,1
95,1
96,0
97,0
98,1
99,0
100,0
101,0
102,0
103,0
104,1
105,1
106,1
108,2
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,1
117,0
118,0
119,0
120,0
121,0
122,1
123,0
124,0
125,0
126,0
127,1
128,1
129,0
130,0
131,2
132,0
133,0
134,2
135,0
136,0
137,0
138,0
139,0
140,0
141,1
142,0
143,0
144,1
145,0
147,0
148,0
149,0
150,0
151,0
153,0
154,0
155,0
156,1
157,0
158,0
159,0
160,0
161,0
162,1
163,1
164,0
166,1
169,0
170,1
171,1
172,0
173,1
174,0
175,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
186,0
187,0
188,0
189,0
190,1
192,1
194,0
195,0
198,2
199,0
201,1
202,2
203,0
204,1
207,0
209,0
210,0
211,0
213,1
215,0
217,0
218,2
219,0
221,2
222,1
228,2
231,0
232,0
233,0
234,1
235,1
237,0
242,0
243,0
244,2
245,0
246,0
248,0
250,0
256,0
257,0
258,0
259,0
260,1
261,0
264,0
265,1
269,1
270,1
273,0
276,1
278,0
279,1
282,2
283,0
284,0
286,0
287,1
289,0
291,0
292,0
297,1
298,0
299,0
300,0
304,0
306,0
307,1
313,0
315,0
319,0
322,1
323,0
324,0
330,0
331,0
332,0
335,0
336,1
339,0
343,0
345,2
347,0
348,0
349,0
351,0
354,0
355,0
358,0
359,2
360,0
364,1
370,0
374,2
375,0
376,0
379,0
380,1
384,1
385,2
387,0
388,1
391,0
394,0
395,0
398,0
399,1
406,1
408,1
412,1
424,0
426,0
428,1
430,0
434,0
438,0
439,0
443,1
444,0
450,0
455,0
458,0
469,0
471,0
477,0
480,0
485,0
493,0
495,0
502,0
507,2
510,0
512,0
513,0
515,0
530,0
531,0
533,2
540,0
541,2
548,0
554,2
555,1
559,0
564,0
566,0
567,0
568,0
569,0
576,0
577,0
583,0
587,1
604,0
632,0
634,0
646,0
650,0
659,0
670,1
682,2
689,0
691,0
693,1
712,0
729,2
733,0
741,0
747,0
759,0
769,0
795,1
799,1
810,0
831,0
841,0
843,0
856,1
861,0
902,0
917,1
927,1
933,0
974,1
1025,0
1042,0
1080,0
1087,0
1137,1
1176,1
1255,1
1287,0
1487,1
1533,1
1890,0
2066,1
3309,1
